date,edition,source_url,markdown_filename,release_tag
2026-04-08,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=08042026-VES.pdf&anio=2026&repo=repositorio/,08042026-VES.md,dof-2026
2026-04-09,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=09042026-MAT.pdf&anio=2026&repo=repositorio/,09042026-MAT.md,dof-2026
2026-04-09,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=09042026-VES.pdf&anio=2026&repo=repositorio/,09042026-VES.md,dof-2026
2026-04-10,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=10042026-MAT.pdf&anio=2026&repo=repositorio/,10042026-MAT.md,dof-2026
2026-04-10,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=10042026-VES.pdf&anio=2026&repo=repositorio/,10042026-VES.md,dof-2026
2026-04-13,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=13042026-MAT.pdf&anio=2026&repo=repositorio/,13042026-MAT.md,dof-2026
2026-04-14,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=14042026-MAT.pdf&anio=2026&repo=repositorio/,14042026-MAT.md,dof-2026
2026-04-15,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=15042026-MAT.pdf&anio=2026&repo=repositorio/,15042026-MAT.md,dof-2026
2026-04-16,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=16042026-MAT.pdf&anio=2026&repo=repositorio/,16042026-MAT.md,dof-2026
2026-04-17,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=17042026-MAT.pdf&anio=2026&repo=repositorio/,17042026-MAT.md,dof-2026
2026-04-17,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=17042026-VES.pdf&anio=2026&repo=repositorio/,17042026-VES.md,dof-2026
2026-04-20,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=20042026-MAT.pdf&anio=2026&repo=repositorio/,20042026-MAT.md,dof-2026
2026-04-21,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=21042026-MAT.pdf&anio=2026&repo=repositorio/,21042026-MAT.md,dof-2026
2026-04-21,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=21042026-VES.pdf&anio=2026&repo=repositorio/,21042026-VES.md,dof-2026
2026-04-22,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=22042026-MAT.pdf&anio=2026&repo=repositorio/,22042026-MAT.md,dof-2026
2026-04-22,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=22042026-VES.pdf&anio=2026&repo=repositorio/,22042026-VES.md,dof-2026
2026-04-23,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=23042026-MAT.pdf&anio=2026&repo=repositorio/,23042026-MAT.md,dof-2026
2026-04-23,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=23042026-VES.pdf&anio=2026&repo=repositorio/,23042026-VES.md,dof-2026
2026-04-24,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=24042026-MAT.pdf&anio=2026&repo=repositorio/,24042026-MAT.md,dof-2026
2026-04-24,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=24042026-VES.pdf&anio=2026&repo=repositorio/,24042026-VES.md,dof-2026
2026-04-27,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=27042026-MAT.pdf&anio=2026&repo=repositorio/,27042026-MAT.md,dof-2026
2026-04-27,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=27042026-VES.pdf&anio=2026&repo=repositorio/,27042026-VES.md,dof-2026
2026-04-28,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=28042026-MAT.pdf&anio=2026&repo=repositorio/,28042026-MAT.md,dof-2026
2026-04-28,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=28042026-VES.pdf&anio=2026&repo=repositorio/,28042026-VES.md,dof-2026
2026-04-29,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=29042026-MAT.pdf&anio=2026&repo=repositorio/,29042026-MAT.md,dof-2026
2026-04-30,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=30042026-MAT.pdf&anio=2026&repo=repositorio/,30042026-MAT.md,dof-2026
2026-04-30,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=30042026-VES.pdf&anio=2026&repo=repositorio/,30042026-VES.md,dof-2026
2026-05-01,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=01052026-VES.pdf&anio=2026&repo=repositorio/,01052026-VES.md,dof-2026
2026-05-04,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=04052026-MAT.pdf&anio=2026&repo=repositorio/,04052026-MAT.md,dof-2026
2026-05-04,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=04052026-VES.pdf&anio=2026&repo=repositorio/,04052026-VES.md,dof-2026
2026-05-06,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=06052026-MAT.pdf&anio=2026&repo=repositorio/,06052026-MAT.md,dof-2026
2026-05-06,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=06052026-VES.pdf&anio=2026&repo=repositorio/,06052026-VES.md,dof-2026
