year,heading,notes
2022,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",10435
2022,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,784
2022,EMPRESAS PRODUCTIVAS DEL ESTADO,26
2022,ORGANISMOS AUTONOMOS,1494
2022,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,427
2022,PODER EJECUTIVO,3609
2022,PODER JUDICIAL,497
2022,PODER LEGISLATIVO,41
2023,AVISOS JUDICIALES Y GENERALES,10201
2023,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",10369
2023,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,931
2023,EMPRESAS PRODUCTIVAS DEL ESTADO,36
2023,ORGANISMOS AUTONOMOS,1518
2023,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,532
2023,OTROS,1
2023,PODER EJECUTIVO,3544
2023,PODER JUDICIAL,403
2023,PODER LEGISLATIVO,66
2024,AVISOS JUDICIALES Y GENERALES,8286
2024,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",8441
2024,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,466
2024,EMPRESAS PRODUCTIVAS DEL ESTADO,18
2024,EMPRESAS PUBLICAS DEL ESTADO MEXICANO,1
2024,ENTIDADES FEDERATIVAS,1
2024,ORGANISMOS AUTONOMOS,1449
2024,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,545
2024,OTROS,14
2024,PODER EJECUTIVO,3892
2024,PODER JUDICIAL,246
2024,PODER LEGISLATIVO,44
2025,AVISOS JUDICIALES Y GENERALES,9879
2025,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",7527
2025,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,449
2025,EMPRESAS PUBLICAS DEL ESTADO MEXICANO,26
2025,ENTIDADES FEDERATIVAS,1
2025,ORGANISMOS AUTONOMOS,1422
2025,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,550
2025,OTROS,1
2025,PODER EJECUTIVO,3614
2025,PODER JUDICIAL,305
2025,PODER LEGISLATIVO,42
2026,AVISOS JUDICIALES Y GENERALES,5212
2026,"CONVOCATORIAS PARA CONCURSOS DE ADQUISICIONES, ARRENDAMIENTOS, OBRAS Y SERVICIOS DEL SECTOR PUBLICO",4030
2026,CONVOCATORIAS PARA CONCURSOS DE PLAZAS VACANTES DEL SERVICIO PROFESIONAL DE CARRERA EN LA ADMINISTRACION PUBLICA FEDERAL,316
2026,EMPRESAS PUBLICAS DEL ESTADO MEXICANO,11
2026,ENTIDADES FEDERATIVAS,1
2026,ORGANISMOS AUTONOMOS,767
2026,ORGANISMOS DESCONCENTRADOS O DESCENTRALIZADOS,319
2026,OTROS,2
2026,PODER EJECUTIVO,1801
2026,PODER JUDICIAL,170
2026,PODER LEGISLATIVO,24
